,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre, pop,R&B,country,rock, rock, Folk/Acoustic, easy listening, Dance/Electronic,set(),pop, R&B,World/Traditional, metal, blues,latin,Dance/Electronic, latin,easy listening, jazz, country,metal,Folk/Acoustic, classical, hip hop,hip hop,cat,cluster
31,Musiq Soulchild,Love,0.5164167201047566,0.0,2000,0.0,0.5200945626477541,0.3496451647071285,0.09090909090909091,0.5235201106828737,0.0,0.04829956584659914,0.3503970569912851,0.0,0.07949488875526156,0.3218526045566371,0.263332714543333,"pop, R&B",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,2
32,Avril Lavigne,Complicated,0.3543241743141513,0.0,2002,0.8764044943820225,0.5390070921985816,0.7637962080288105,0.45454545454545453,0.7222057515564779,1.0,0.04106367583212736,0.058588037797464874,7.85786802030457e-06,0.3349368610944077,0.4159803187506685,0.1191259149252148,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,5
33,No Doubt,Underneath It All,0.5111735004553464,0.0,2001,0.30337078651685395,0.7092198581560284,0.7161317657027857,0.36363636363636365,0.7753730605791086,1.0,0.08176555716353112,0.23768992176895284,1.5939086294416243e-06,0.444377630787733,0.8566691624772703,0.518344913546197,"rock, pop",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,4
34,Marilyn Manson,Tainted Love,0.23555689674683278,0.0,2003,0.6741573033707865,0.58274231678487,0.8697171909755322,0.7272727272727273,0.6292617847613401,1.0,0.08972503617945009,0.0010766605244693337,1.8578680203045686e-06,0.32531569452796144,0.5336399614932079,0.5436379548106502,"rock, metal",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,4
35,Brandy,Full Moon,0.366252094862938,0.0,2002,0.5842696629213483,0.5697399527186762,0.6345726088338101,0.9090909090909091,0.7753236485818756,0.0,0.20947901591895807,0.3811353665973757,0.004385786802030457,0.08550811785929044,0.610653545833779,0.3043319719953326,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1111111111111111,1
36,Disturbing Tha Peace,Move Bitch,0.42919228551567307,1.0,2002,0.6629213483146067,0.7659574468085106,0.73731596229213,0.09090909090909091,0.7323846229864611,1.0,0.1986251808972504,0.2510098559315921,0.0,0.09440769693325317,0.16354690341212966,0.781498620982285,"hip hop, pop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666666666666666,7
37,Kylie Minogue,Love at First Sight,0.3375113836603385,0.0,2001,0.6179775280898876,0.5602836879432624,0.7616777883698761,0.2727272727272727,0.7139045360213461,0.0,0.035455861070911726,0.029489104703699087,0.05177664974619289,0.038244137101623575,0.47267087389025564,0.4307772886390156,"pop, Dance/Electronic",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,5
38,Gareth Gates,Unchained Melody,0.3251173392681047,0.0,2003,0.39325842696629215,0.28250591016548465,0.3930727677152844,0.9090909090909091,0.6159205455084494,1.0,0.008140376266280754,0.2612559591336223,5.472081218274112e-06,0.10402886349969932,0.18173066638143118,0.3082966479261695,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,2
39,A1,Caught in the Middle,0.2518308159053311,0.0,2001,0.5955056179775281,0.4609929078014185,0.8675987713165978,0.45454545454545453,0.7605494614092302,1.0,0.019536903039073815,0.053669908260490375,0.0,0.26638604930847865,0.5710771205476521,0.23902752731515864,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,5
40,Ashanti,Happy,0.4020681887990171,1.0,2002,0.6853932584269663,0.706855791962175,0.48734244253786674,0.18181818181818182,0.68984089336891,0.0,0.010311143270622289,0.24691141465078,3.7969543147208122e-06,0.12327119663259171,0.7026419937961279,0.19537631271878647,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666666666666666,7
